variable_group,cmip6plus_key,cmip6_key,long_name,std_name,units,cmip6_table,name,in_cmip_core
forcing,LPmon/fFireAll,Emon/fFireAll,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Fire Including All Sources [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fires,kg m-2 s-1,Emon,fFireAll,FALSE
forcing,LPmon/fFireNat,Emon/fFireNat,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Natural Fire [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_natural_fires,kg m-2 s-1,Emon,fFireNat,FALSE
forcing,LPmon/fLitterSoil,Lmon/fLitterSoil,Total Carbon Mass Flux from Litter to Soil,carbon_mass_flux_into_soil_from_litter,kg m-2 s-1,Lmon,fLitterSoil,TRUE
forcing,LPmon/fLuc,Emon/fLuc,Net Carbon Mass Flux into Atmosphere Due to Land-Use Change [kgC m-2 s-1],surface_net_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_anthropogenic_land_use_change,kg m-2 s-1,Emon,fLuc,TRUE
forcing,LPmon/fNdep,Emon/fNdep,Dry and Wet Deposition of Reactive Nitrogen onto Land,minus_tendency_of_atmosphere_mass_content_of_nitrogen_compounds_expressed_as_nitrogen_due_to_deposition,kg m-2 s-1,Emon,fNdep,FALSE
forcing,LPmon/fVegLitter,Lmon/fVegLitter,Total Carbon Mass Flux from Vegetation to Litter,mass_flux_of_carbon_into_litter_from_vegetation,kg m-2 s-1,Lmon,fVegLitter,TRUE
forcing,LPmon/gpp,Lmon/gpp,Carbon Mass Flux out of Atmosphere Due to Gross Primary Production on Land [kgC m-2 s-1],gross_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,Lmon,gpp,TRUE
forcing,LPmon/grassFrac,Lmon/grassFrac,Natural Grass Area Percentage,area_fraction,%,Lmon,grassFrac,TRUE
forcing,LPmon/lai,Lmon/lai,Leaf Area Index,leaf_area_index,1,Lmon,lai,TRUE
forcing,LPmon/landCoverFrac,Lmon/landCoverFrac,Percentage of Area by Vegetation or Land-Cover Category,area_fraction,%,Lmon,landCoverFrac,FALSE
forcing,LPmon/mrro,Lmon/mrro,Total Runoff,runoff_flux,kg m-2 s-1,Lmon,mrro,TRUE
forcing,LPmon/mrros,Lmon/mrros,Surface Runoff,surface_runoff_flux,kg m-2 s-1,Lmon,mrros,TRUE
forcing,LPmon/mrsfl,Emon/mrsfl,Frozen Water Content of Soil Layer,frozen_water_content_of_soil_layer,kg m-2,Emon,mrsfl,FALSE
forcing,LPmon/mrsll,Emon/mrsll,Liquid Water Content of Soil Layer,liquid_water_content_of_soil_layer,kg m-2,Emon,mrsll,FALSE
forcing,LPmon/mrso,Lmon/mrso,Total Soil Moisture Content,mass_content_of_water_in_soil,kg m-2,Lmon,mrso,TRUE
forcing,LPmon/mrsol,Emon/mrsol,Total Water Content of Soil Layer,mass_content_of_water_in_soil_layer,kg m-2,Emon,mrsol,TRUE
forcing,LPmon/nbp,Lmon/nbp,Carbon Mass Flux out of Atmosphere Due to Net Biospheric Production on Land [kgC m-2 s-1],surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes,kg m-2 s-1,Lmon,nbp,TRUE
forcing,LPmon/nep,Emon/nep,Net Carbon Mass Flux out of Atmosphere Due to Net Ecosystem Productivity on Land [kgC m-2 s-1],surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes_excluding_anthropogenic_land_use_change,kg m-2 s-1,Emon,nep,TRUE
forcing,LPmon/netAtmosLandCO2Flux,Emon/netAtmosLandCO2Flux,Net Flux of CO2 Between Atmosphere and Land (Positive into Land) as a Result of All Processes [kgC m-2 s-1],surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes,kg m-2 s-1,Emon,netAtmosLandCO2Flux,FALSE
forcing,LPmon/npp,Lmon/npp,Net Primary Production on Land as Carbon Mass Flux [kgC m-2 s-1],net_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,Lmon,npp,TRUE
forcing,LPmon/nwdFracLut,Emon/nwdFracLut,Non-Woody Vegetation Percentage Cover,area_fraction,%,Emon,nwdFracLut,TRUE
forcing,LPmon/orog,Emon/orog,Surface Altitude,surface_altitude,m,Emon,orog,TRUE
